RecipeId;Alcohol;NonAlcohol;Fruit;Flavour;Chilled;Degree;NoOfLiquid;Title;Ingredient;Step
93;;orange juice|pineapple juice|soda water;melon|lime;;true;none;3;Cocktail Sweet Melon;1  Green melon|2  lime|1 l Orange juice|1 l Pineapple juice|1 l soda water;Cut the flesh from the melon.Squeeze the limes.Pour the juice into a bowl.Add the diced melon and let rest in the fridge for 2 hours.Add sparkling water just before serving.
94;angostura bitter|cognac|champagne;;;brown sugar;true;high;3;Champagne Cocktail;1  teaspoon brown sugar|3  cl Angostura bitter|1 cl cognac|8 cl champagne;Place ingredients directly into a glass champagne flute type in the following order:Soak the piece of angostura sugar, then put it at the bottom of a champagne flute.Gently pour the cognac (it should cover the piece of sugar).Fill with chilled champagne.
95;blush wine;orange juice;;orange syrup;false;low;2;Cocktail Variant (based rose);5.33  blush wine|0.66  Orange Syrup|4  l Orange juice;mix wellVery cool drink
96;gin|apple liqueur;orange juice;;mint syrup;false;high;3;Double Show;6 cl gin|10 cl orange juice|2 cl mint syrup|2 cl apple liqueur;{{Preparationtext=
97;white martini|get_27;grapefruit juice;;;true;high;3;Hulk (cocktail);7 cl White martini|5 cl Get_27|6 cl grapefruit juice;Mix all the above in a small cup cocktail ingredients.Add an ice cube or two and ... enjoy!
98;beer;pineapple juice;;strawberry syrup;false;low;2;Cocktail Mexicanos;12 cl beer|12 cl Pineapple juice|3 cl strawberry syrup;In a beer glass, add a dash of strawberry syrup.Complete with beer, tipping the glass to avoid excessive foaming, and then pour the pineapple juice.Drink very fresh.
99;stout|champagne;;;;false;low;2;Black Velvet;12 cl stout|12 cl champagne;Pour the stout and champain together in a class, being careful to ensure there is no overspill.
100;champagne|cointreau;;lime;cane sugar;true;low;2;Champagne Soup (cocktail);8 cl cointreau|16 cl cane sugar|2  lime|1 ice cube|75 cl champagne;Pour into a container Cointreau, cane sugar and lemon juice.Soak overnight.Add the Champagne before serving with ice.
101;white rum;coca-cola;lime;;true;high;2;Cuba Libre;6 cl white rum|1/2 lime|15 cl coca-cola;Squeeze the juice of half a lime into a collins glass.Add ice cubes.Add cola.Stir well.
102;vodka;;apple;strawberry syrup|peach syrup;true;high;1;Tutti Cocktail;2 cl strawberry syrup|2 cl peach syrup|4 cl vodka|4 cl apple|5  ice cubes;Mix in a shaker and add ice.For a small effect, to the strawberry syrup after mixing.
103;white rum|amber rum;pineapple juice|coconut milk;;;true;high;4;Pina Colada;4 cl white rum|2 cl amber rum|12 cl pineapple juice|4 cl coconut milk|1 cup crushed ice;Pour rum, cream of coconut and pineapple juice into a blender with one cup of crushed iceBlend until smooth
104;tequila|cointreau;;strawberry|lime;sugar;true;high;2;Strawberry Margarita;broken ice|2 lime|1 strawberry|20 cl tequila|12 cl cointreau|2 tsp sugar;Wash and hull strawberries. Put ice cubes in a food processor and mix with strawberries.Squeeze the limes. Put the tequila, Cointreau and lemon juice in a measuring with 2 tablespoons sugar.Mix and pour into a blender with crushed ice and strawberries.Decorate glasses of sugar (wet glasses in lemon juice and then dip them in sugar).Divide cocktail in glasses and health!
105;blush wine;grapefruit juice;;grenadine;true;low;2;Pink Cocktail Pink Grapefruit;75 cl blush wine|30 cl grapefruit juice|5 cl grenadine;In a large pitcher, pour the grenadine syrup and rose wine and grapefruit juice.Serve chilled.
106;rum;lemon juice;;grenadine;false;high;2;Bacardi Cocktail, Grenadine, Lemon;24 cl rum|6 cl Grenadine syrup|12 cl lemon juice;Put the grenadine syrup, lemon juice and Bacardi in a shaker.Strongly shake.Pour into glasses and serve immediately.
107;martini|triple sec;multivitamin juice;;cane sugar syrup;true;low;3;MTS Cocktail;50 cl martini|25 cl triple sec|25 cl cane sugar syrup|50 cl multivitamin juice;In a large pitcher, combine all ingredients and mix. Let stand one hour in the refrigerator.A taste very fresh.
108;white wine;orange juice;;grenadine;false;low;2;Madras Cocktail;40 cl Orange juice|20 cl white wine|5 cl Grenadine;Mix orange juice with white wine.Pour into glasses. Add a dash of grenadine.
